question,answer,normalized_aliases,correctness
Anthony van Dyke was court painter of which English monarch?," Charles II
","['charles i disambiguation', 'charles i', 'charles first', 'king charles i', 'charles 1st', 'charles 1']",Incorrect
"As leader of the Teen Titans, ‘Robin’ aka Dick Grayson took on which other identity?"," Nightwing
","['nightwing', 'nightwing comic book']",Correct
Charlotte is the largest city in the 'Tar Heel State'. Which state?," North Carolina
","['north carolina division of parks and recreation', 'rip van winkle state', 'from manteo to murphy', 'religion in north carolina', 'north carolina usa state', '12th state', 'manteo to murphy', 'north calorina', 'old north state', 'eastern vs western north carolina barbecue', 'from murphy to manteo', 'north carolina u s state', 'murphy to manteo', 'nc state', 'north carolina united states', 'north cackalacky', 'education in north carolina', 'state of north carolina', 'land of pines', 'tar heel state', 'twelfth state', 'tarheel state', 'carolina del norte', 'us nc', 'north cackalack', 'north carolina state', 'north carolinian', 'map of north carolina', 'n carolina', 'north carolina', 'tuckasiegee']",Correct
What was the name of Scrooge's long suffering clerk in a Christmas Carol?," Bob Cratchit
","['cratchit', 'bob cratchitt', 'bob cratchit', 'bob cratchet']",Correct
"What branch of the US Armed Forces, founded in 1790, trains its officers at its academy in New London, Ct?"," Coast Guard
","['uniforms of united states coast guard', 'usacg', 'cg blue', 'u s coast guard', 'united states coast guard base', 'recruitment in united states coast guard', 'coast guard united states', 'uscg', 'usa cg', 'us coast guard', 'ancient albatross', 'united states of america coast guard', 'us coast guard band', 'usa coast guard', 'coast guardsmen', 'coast guard of united states', 'cg orange', 'us coast gaurd', 'american coast guard', 'cg red', 'u s coast guards', 'us coastguard', 'united states coast guard', 'america s coast guard', 'coast guard band', 'national response center']",Incorrect
What is the state capital of North Dakota?," Bismarck
","['bismarck disambiguation', 'bismark', 'bismarck']",Correct
"""What 1978 film featured the songs """"You're the One That I Want"""" and """"Born to Hand Jive""""?"""," Grease
","['grease', 'grease disambiguation', 'grease album']",Correct
"What is the title of late actor Charlie Chaplin’s last completed film, launched in the UK in 1967?"," The Count of Monte Cristo
",['countess from hong kong'],Incorrect
Which author created the detective Harry Bosch?," Michael Connelly
","['roy lindell', 'michael connelly']",Correct
"Globo Esporte, which carried the headline 'HAHAHAHAHAHAHA' following Argentina's 4-0 defeat by Germany in the 2010 FIFA World Cup, is a newspaper in which country?"," Brazil
","['federative republic of brazil', 'brazil country', 'brésil', 'republica federativa do brasil', 'iso 3166 1 br', 'bresil', 'etymology of brazil', 'federal republic of brazil', 'brassil', 'barzil', 'brazilian republic', 'brazil', 'república federativa do brasil', 'brazilo', 'brasil', 'republic of brazil', 'brazilian federative republic', 'brzil']",Correct
"""Who wrote the book """"The Ragged Trousered Philanthropists?"""," Robert Tressell
","['robert tressell', 'robert noonan']",Correct
The producer of what 1970s film wanted to call it The Sidewalk Vigilante as he felt the title (which stayed) was too morbid?," Death Wish
","['death wish', 'death wish disambiguation']",Correct
In Germany a gessellschaft is a?," Company
","['and sons', 'and co', 'cmpany', 'registered company', 'company legal', 'compnay', 'compagnies', 'registered companies', 'campany', 'company', '㏇', 'comapnies', 'and company', 'compagnie', 'your company', 'company law', 'incorporated company', 'companies', 'comapny']",Correct
Ramon Mercader assassinated which C20th leader?," Leon Trotsky
","['leon trotsky', 'lev trotsky', 'leon trotskiy', 'lev davidovich trotzky', 'léon bronstein trotsky', 'léon trotsky', 'trotskee', 'murder of trotsky', 'trotsky', 'leo trotzki', 'leon trotsky archive1', 'liev davidovitch bronstein', 'leon trosky', 'lev davidovitch bronstein', 'comrade trotsky', 'murder of leon trotsky', 'leon trotskij', 'leon troksy', 'lev d bronshtein', 'trockij', 'leon trotzky', 'trotsky and soviets', 'лeв давидович трóцкий', 'assassination of leon trotsky', 'assassination of trotsky', 'лев давидович троцкий', 'лев троцкий', 'trotzky', 'leon davidovich trotsky', 'léon trotski', 'trotskiy', 'лев дави́дович бронште́йн', 'leo trotsky', 'leon trotskee', 'leon trotski', 'leo trotskij', 'trotski', 'lev davidovich bronshtein', 'esteban volkov', 'троцкий', 'lev trockij', 'lev bronstien', 'trotzki', 'lev davidovich bronstein', 'lev davidovich trotsky', 'trotskij', 'lev bronstein', 'trotskii']",Correct
Who wrote 'An Enemy of the People'?," Henrik Ibsen
","['brynjulf bjarme', 'johan ibsen', 'ibsenism', 'norma ibsen', 'henrik ibsen', 'ibsen henrik johan', 'brynjolf bjarme', 'henryk ibsen', 'ibsen', 'henrick ibsen', 'isben', 'h ibsen', 'ibsenesque', 'ibsenian', 'bjarme', 'henrik johan ibsen']",Correct
"The period between 1450 and 1600 in European development is known by what term, initially used by Italian scholars to express the rediscovery of ancient Roman and Greek culture?"," Renaissance
","['late renaissance', 'renassance', 'renaisance', 'renaissance era', 'reniassance', 'opening phase of renaissance', 'reaisance', 'rennisance', 'european renassiance', 'rennaissance', 'early modern renaissance', 'early renaissance', 'renaissance period', 'renaissance', 'reneissance', 'renaissance europe', 'renaissance material', 'renisance', 'rennassance', 'renaissance art and architecture', 'beginning of renaissance', 'early renassance', 'renasance', 'rennaisance', 'european renaissance', 'idea of renaissance', 'reanissance', 'renniassence', 'il rinascimento', 'renaissance age', 'renissance', 'renessaince']",Correct
Italian companies Ferretti and Azimut manufacture which luxury items?," Motor yachts
","['yaugt', 'recreational boating', 'yatch', 'yachts', 'motor yachts', 'yacht', 'yacht ensign', 'sailing yacht', 'yaught', 'yachtsman', 'motor yacht', 'motoryacht', 'motor sailing yacht']",Correct
Patrick Duffy played which character in 'Dallas'?," Bobby Ewing
","['bobby james ewing', 'bobby ewing']",Correct
"In June 1988, which British jockey was stripped of his OBE after he was jailed for tax evasion?"," George Moore
","['lester keith piggott', 'lester piggot', 'lester pigott', 'lester piggott']",Incorrect
"What product is advertised with the slogan ""Life, liberty, and the Pursuit""?","7 Up
","['cadilac', 'cadillac motor company', 'cadillacs', 'cadillick', 'cadillac automobile', 'cadillac', 'cadillac automobile company', 'cadallac']",Incorrect
"Banff National Park and Jasper National Park, which are connected by the Icefields Parkway, are in which Canadian province?"," Alberta
","['ca ab', 'alberta transportation', 'province of alberta', 'alberta', 'alberta s', 'alberta canada', 'alberta province', 'albertan', 'albertans']",Correct
Which port lies at the mouth of the Great Ouse?," King's Lynn
","['lynn norfolk', 'king s lynn norfolk', 'king s lynne', 'kings lynn', 'bishop s lynn', 'kings lynn norfolk', 'list of events in king s lynn', 'lynn regis', 'king s lynn', 'kings lyn', 'borough of king s lynn']",Correct
"In the US children's TV show, 1968-1970, as what were Fleegle, Bingo, Drooper and Snorky known?","40th Anniversary Banana Splits
","['banana splits and friends show', 'banana splits show', 'banna splits tv show', 'bananasplits', 'snorky', 'banana splits version 2', 'banana splits adventure hour', 'fleegle', 'banana splits']",Incorrect
What nationality was the pirate William 'Captain' Kidd who was hanged in 1701?," Scottish
","['scotish', 'scottish disambiguation', 'scottish']",Correct
"In the Bible, Apollyon is the angel of the ‘what’?","2nd Death
","['bottomless pit disambiguation', 'bottomless pit', 'bottom less pit']",Incorrect
Who has played more matches than any other player in the Premier League?," David James
","['gary andrew speed', 'gary speed']",Incorrect
Who hosted the Channel 4 quiz show Codex,"	David Frost
","['tony robinson', 'sir tony robinson']",Incorrect
"In 2009, who became only the second woman to train a Grand National winning horse?"," Venetia Williams
",['venetia williams'],Correct
Which TV sitcom featured Ben and Susan Harper and their three children?,"8 Simple Rules
","['serpent s tooth', 'my family', 'my family television', 'jim armogida', 'steve armogida', 'my family bbc comedy']",Incorrect
"The counterpart to Aphrodite, the Roman goddess Venus was the god of what?"," Mars
","['loveworthy', 'latin words for love', 'sacrificial love', 'love', 'loveliest', 'true love feeling', 'idealized love', 'chemistry of love', '💑', 'idealised love', 'lovable', '愛', 'lovelier', 'lovingly', 'loving relationship', 'loves', 'prem hinduism', 'love interest']",Incorrect
"Held during the Boer War, what nickname was given to the UK General Election of 1900?","1900 Khaki Election
",['khaki election'],Incorrect
Which stretch of water joins the Aegean Sea to the Sea of Marmera?," Dardanelles
","['dardanelles strait', 'hellespont', 'ἑλλήσποντοs', 'rectum hellesponticum', 'hellesponium pelagus', 'ancient hellespont', 'dardenelles', 'hellespontos', 'hellespontium pelagus', 'dardaneles', 'çanakkale boazi', 'çanakkale bogazi', 'canakkale boazi', 'fretum hellesponticum', 'classical hellespont', 'helespont', 'dardanelles straits', 'dardanellia', 'δαρδανέλλια', 'ἑλλήσποντος', 'sea of helle', 'çanakkale boğazı', 'strait of çanakkale', 'canakkale bogazi', 'dardanelles']",Correct
Late actor John Elton Halliley was better known by what name?," John Inman
","['john le mez', 'john le mesurier', 'john le mesuirier', 'john l mesurier', 'john l mes', 'john le mes', 'john charles elton le mesurier de somerys halliley', 'john le mesuirer']",Incorrect
Which cricket ground was the home ground of the Manchester Cricket Club from 1856 until it became the home of the Lancashire County Cricket Club when that was founded in 1864?," Old Trafford
","['old trafford stadium', 'sir alex ferguson stand', 'theater of dreams', 'old trafford football', 'manchester united museum', 'aeroflot stadium', 'old trafford football stadium', 'theatre of dreams', 'old trafford football ground', 'united road', 'old trafford']",Correct
Who was the mother of Achilles in Greek mythology?," Thetis
","['θέτις', 'thetis', 'hetis', 'thetys', 'peleus and thetis']",Correct
In which part of the body would you find the zygomatic bone?," Face
","['cheeky cheeky and nosebleeds', 'cheek']",Incorrect
Painter Joshua Reynolds was knighted by which British monarch?,"1st King George
","['george iii of england', 'george iii guelph', 'george william frederick', 'king george iii', 'king george 3rd', 'farmer george', 'mad king george', 'george iii of corsica', 'george iii of uk', 'george iii', 'george iii king of great britain', 'george iii of great britain', 'george iii of hanover', 'king george iii of united kingdom', 'george iii of united kingdom', 'george iii of britain', 'george iii 22the mad 22 of united kingdom', 'king george 3 of united kingdom', 'king george 3', 'george iii king of great britain and ireland', 'george iii of scotland', 'king george iii of great britain', 'list of titles and honours of king george iii', 'george iii of great britain and ireland', 'george third']",Incorrect
"""What was the family name of the Mafia mob depicted in the """"Godfather"""" movies?"""," Corleone
","['corleone sicily', 'corleone italy', 'corleone']",Correct
"In 1893, which was the first country to impose driving tests and issue driving licences?"," France
","['belle france', 'etymology of france', 'franciaország', 'la republique française', 'la france', 'france', 'climate of france', 'franciaorszag', 'la republique francaise', 'iso 3166 1 fr', 'france country', 'french republic', 'république francaise', 'republique française', 'la république francaise', 'fracne', 'rain in france', 'le france', 'république française', 'la république française', 'frankreich', 'republic of france', 'people of france', 'ranska', 'franse', 'republique francaise', 'frakkland']",Correct
"""If someone stands with their hands resting on their hips, they are said to be """"arms """" what?"""," Akimbo
","['akimbo', 'hands on hips', 'akimbo arms', 'arms akimbo']",Correct
Which step in photosynthesis is responsible for splitting water molecules?,"3
","['light reaction', 'light reaction disambiguation']",Incorrect
"According to 'Acts', what peak was the location of the 'Ascension of Jesus'?"," Mount of Olives
","['har hamashchit', 'mount of olives', 'mount olives', 'mount of olves', 'har hazeitim', 'har hazeisim', 'olives mount of', 'mount of olives jerusalem', 'olive mountain', 'mount olivet', 'mount of ascension']",Correct
By what name is the Collegiate Church of St Peter at Westminster better known?," Westminster Abbey
","['st peter s monastery westminster', 'st peter westminster', 'st edmund s chapel westminster abbey', 'st peter s church westminster', 'westminster palace westminster abbey and saint margaret s church', 'westminster abbey and st margaret s church westminster palace westminster abbey and saint margaret s church', 'collegiate church of st peter westminster', 'westmister abbey', 'collegiate church of st peter at westminster', 'abbey of westminster', 'westminister abby', 'westminister abbey', 'westminster abbey', 'st peter s westminster', 'westminster abby']",Correct
"July 4, 1919 saw Congress pass the 19th amendment (although it wasn't officially ratified until Aug 20, 1920), which gave the vote to which previously disenfranchised group?"," Women
","['female humans', 'womanish', 'wonmen', 'woman', 'female human', 'woman in 1911 brittanica', 'ooman', 'human females', '🚺', 'womanhood', 'human female', 'women', 'womankind', 'women s', 'young woman', 'wifman', 'womens', '👩']",Correct
In the Dickens novel 'Dombey and Son' what is the name of the son?," Paul
","['boulangeries paul', 'paul services', 'paul', 'paul bakery', 'paul food chain', 'boulangeries paul sas', 'paul services sas']",Correct
Who wrote a series of novels which all had 'Rabbit' in the title?," John Updike
","['john updike', 'john hoyer updike']",Correct
What trophy is at stake when Australia play the West Indies at test cricket," Frank Worrell trophy
",['worrell trophy'],Incorrect
"Which 1930’s US gangster, upon being admitted to Indiana State Prison, is quoted as saying ‘I will be the meanest bastard you ever saw when I get out of here’?"," John Dillinger
","['dillinger gang', 'john herbert dillinger', 'dillinger in film', 'john dillinger', 'john dillenger', 'dillinger', 'john dilinger', 'first dillinger gang']",Correct
Which horse won the 2013 Aintree Grand National ?,"	Aurora's Enery
","['auroras encore', 'aurora s encore']",Incorrect
What is the traditional colour of Willow Pattern china," Blue and white
","['blue and white disambiguation', 'white blue', 'white and blue', 'blue and white']",Correct
Who plays Debbie Aldridge in the BBC 4 radio series ‘The Archers’?,"	Tamsin Greig
","['tamsin greig', 'tamsin grieg']",Correct
What university was Mark Zuckerberg attending when he co-founded Facebook with three fellow classmates?," Harvard University
","['harvard radcliffe tv', 'harward university', 'harvard', 'harvard university', 'kremlin on charles', 'harvard university department of psychology', 'harvard university concord field station', 'new college cambridge massachusetts', 'haravrd', 'university of harvard', 'harvard u', 'harvard univ', 'new college cambridge ma', 'harvard edu', 'harvard university crimson']",Correct
Who is the MP for South Cambridgeshire and current Secretary of State for Health?," Andrew Lansley
","['andrew david lansley', 'andrew lansley']",Correct
Which Nobel Prize did Mairead Corrigan and Betty Williams win in 1976?," Peace
","['p e c e', 'mtulazaji davis', 'peace rapper', 'peace']",Correct
Which socialist society was founded in London in January 1884?,"1st International
","['fabian society', 'fabian socialism', 'fabian socialist', 'fabianism', 'fabians', 'fabian policy']",Incorrect
The human heart has four chambers - two auricles (or atria) and two ............ what?," Ventricles
","['ventricle disambiguation', 'intraventricular', 'ventricles', 'ventrical', 'ventricular', 'interventricular', 'ventricle']",Correct
"In addition to sine and cosine, what is the third main function of trigonometry?"," Tangent
","['tangent geometry', 'tangent line problem', 'tangent problem', 'tangential', 'tangent', 'tangentially', 'tangents', 'tangency', 'tangent line', 'point of tangency', 'tangent point']",Correct
Arboreal describes a creature which commonly lives in what?," Trees
","['wood layers', 'big tree', 'trees', 'sapling', 'parts of tree', 'treee', 'treed', 'arboreus', 'tree', 'macrophanerophyte', '🌳']",Correct
"Which 1952 musical about the introduction of talkies, has a title song which was once parodied by Morecambe and Wise?","7th Heaven
","['singing in rain movie', 'singin in rain', 'singin in rain film', 'singing in rain film', 'don lockwood', 'singing in rain', 'singin in rain movie']",Incorrect
In which US State is Mount McKinley?," Alaska
","['аляска', 'alaska usa', 'alaska city alaska', 'alaskan', 'rail transport in alaska', 'alyaska', 'city alaska', 'ulaska', 'alaksa', 'film industry in alaska', 'alasca', 'culture of alaska', 'elaska', 'largest us state', 'forty ninth state', 'us ak', '49th state', 'recording district alaska', 'alaska united states', 'state of alaska', 'alaska state', 'town alaska', 'alaska', 'alaska heritage resources survey', 'religion in alaska', 'alaska u s state', 'arasuka', 'alaskans', 'education in alaska']",Correct
A sophomore is a student in which year of university?,"2nd
","['second year', 'senior 2']",Incorrect
Havarti cheese is made in which north European country?," Denmark
","['dinamarca', 'denmarc', 'danimarca', 'mainland denmark', 'denmarke', 'kingdom of denmark', 'danemark', 'danmoerk', 'denmark', 'danska', 'danmork', 'denemarke', 'media of denmark', 'iso 3166 1 dk', 'danish kingdom', 'daenemark', 'kingdomofdenmark', 'administrative divisions of denmark', 'dänemark', 'subdivisions of denmark', 'kongeriget danmark', 'danmörk', 'eastern denmark', 'denmark proper', 'media in denmark']",Correct
"""Complete this Groucho Marx quote: """"Go, and never darken..."""""""," my doorstep
",['my towels again'],Incorrect
Which 1978 film featured gangs called the T Birds and the Pink Ladies?," Grease
","['grease', 'grease disambiguation', 'grease album']",Correct
Michel de Montaigne of France is best known for popularizing what kind of writing as a literary genre?," Essay
","['essai', 'narrative essay', 'film essay', 'essay film', 'essay', 'philosophical essay', 'historical essay', 'essayic', 'narrative essays', 'humanities essays', 'familiar essay', 'psychology essay', 'essays', 'descriptive essay']",Correct
From which of Shakespeare's plays does this quotation come :- The course of true love never did run smooth ?," A Midsummer Night's Dream
","['middsummer night s dream', 'pease blossom', 'hermia and helena', 'demetrius midsummer night dream', 'midsummer nights dream', 'hippolyta shakespeare', 'amnd', 'peaseblossom', 'msnd', 'incidental music to midsummer night s dream', 'midsummernight s dream', 'lysander midsummer night s dream', 'midsummer night dream', 'midsummer night s dream act iv', 'midsummer night s dream', 'rude mechanicals', 'rude mechanic', 'mid summer night s dream', 'lysander midsummer night dream', 'lysander shakespeare', 'demetrius midsummer night s dream', 'midsummer s night dream', 'midſommer nights dreame', 'midsummer s dream', 'midsommer nights dreame']",Correct
In which year did Rudolf Nureyev defect to the West?,"1961
","['one thousand nine hundred and sixty one', '1961']",Correct
Who was the first woman to ride in the Epsom Derby in 1996?," Michelle Payne
",['alex greaves'],Incorrect
"Released in 2012, which is the fourth in the ‘Bourne’ series of films?"," The Bourne Legacy
","['bourne legacy', 'bourne legacy disambiguation']",Correct
Helleborus niger is the scientific name for what evergreen flowering plant?," Christmas rose
","['christmas rose', 'christmas roses', 'christmas rose disambiguation']",Correct
Which two singers had their microphones switched off after running over the time limit during a concert in London’s Hyde Park in July 2012?," Bruce Springsteen and Paul McCartney
",['bruce springsteen and paul mccartney'],Correct
"In China, in a restaurant, what are you ordering if you ask for 'fragrant meat'?"," Pork
","['dogs', 'doggie', 'doggy', 'dog', 'shedog', 'canis domesticus', 'she dogs', 'canis canis', 'canis lupus familiaris', 'canis familaris', 'female dogs', 'domestic dogs', 'c l familiaris', 'bitch dog', 'domestic dog', 'pet dog', 'man s best friend', 'canis familiaris domesticus', 'dogs animals', 'female dog', 'dogs as pets', 'dog pet', 'dog domestic', 'dogs as our pets', 'doggies', 'shedogs', 'canis familiaris', '🐶', 'doghood', 'canis familiarus domesticus', 'shelter dog', '🐕', 'dogness', 'domestic dog clade', 'bitch female dog', 'dog hood', 'she dog', 'canine lupus']",Incorrect
Where did Motown relocate to in 1971,"9830 St. Aubin, Los Angeles
","['l', 'la la land', 'el lay', 'el pueblo de nuestra señora reina de los ángeles de la porciuncula', 'el pueblo de la reina de los angeles ca', 'nuestra señora la reina de los angeles de porciúncula', 'los angeles california united states', 'los angelos', 'los angeles california usa', 'el pueblo de nuestra señora la reina de los ángeles de porciúncula', 'nuestra senora la reina de los angeles de porciuncula', 'brentwood circle', 'las angeles', 'city of l', 'la ca', 'geography of los angeles', 'la', 'englaborg', 'lost angeles california', 'los angeles united states of america', 'los angelas', 'los angelos california', 'el pueblo de nuestra señora la reina de los ángeles del río de porciúncula', 'loa angeles ca', '72 suburbs in search of city', 'los angeles california', 'los angeles california us', 'angels california', 'el pueblo de nuestra senora reina de los angeles de la porciuncula', 'city of la', 'los angeles ca', 'los angeles united states', 'city of los angeles california', 'los angles', 'el pueblo de nuestra senora la reina de los angeles de porciuncula', 'los angeles city', 'los angels', 'un locode uslax', 'sister cities of los angeles', 'loa angeles california', 'el pueblo de la reina de los angeles california', 'northern los angeles', 'los angeles calif', 'los ángeles california', 'la california', 'la city', 'environmental issues in los angeles', 'geo uslax', 'los angeles usa', 'city of los angeles', 'l ca', 'loc uslax', 'brentwood circle los angeles ca', 'religion in los angeles', 'los angeles', 'los angeles california u s', 'el pueblo de nuestra señora la reina de los angeles del río de porciúncula', 'uslax']",Incorrect
Who plays the title role in the US television series ‘Buffy the Vampire Slayer’?," Sarah Michelle Gellar
","['sarah gellar', 'sara geller', 'sara michelle gellar', 'sarah michelle', 'sarah michelle gellar', 'sarah michelle gellar filmography', 'sara gellar', 'sarah michelle geller', 'sarah michelle prinze']",Correct
"What actor has portrayed Sherlock Holmes, Alan Turing, and Khan?"," Benedict Cumberbatch
","['benedict timothy carlton cumberbatch', 'benedict cumberbatch']",Correct
In which Polish city was the Solidarity union formed in 1989?," Gdansk
","['un locode plgdn', 'gdanska', 'gdansk', 'dantzic', 'gdanzc', 'gdañsk', 'gdánsk', 'gedanum', 'nasz stoleczny gard gduńsk', 'danzig city', 'gdańsk poland', 'gdank', 'g dansk', 'gduńsk', 'gdańk', 'gdanzisk', 'dantzick', 'baltic sea gdanzk', 'dantsic', 'duchy of gdańsk', 'danzig poland', 'gdańska', 'gdansk danzig', 'danzig gdańsk', 'gdanzk', 'gdunsk', 'danzig', 'gdansk poland', 'gdańsk', 'dantzik', 'gdaņska', 'dànzica']",Correct
Benjamin Briggs was captain of which famous ship?," Mary Celeste
","['mary celeste', 'marie céleste', 'mary celest', 'mary celeste in popular culture', 'amazon brigantine', 'marie celeste']",Correct
The 'Road to the Isles' runs from Fort William to which port?," Mallaig
","['malaig', 'mallaig', 'mallaig scotland']",Correct
"Which essential part of ballet training, still in use, was devised by Pierre Beauchamp in the late 17th century?","8 positions of the arms
","['positions of feet in ballet', 'positions of feet', 'five positions of feet', 'feet positions']",Incorrect
Which Welsh singer was invited to sing at the White House on Millennium Eve?," Tom Jones
","['tom jones film', 'tom jones australian footballer', 'tom jones disambiguation', 'jones tom', 'tom jones footballer', 'tom jones movie', 'tom jones opera', 'tom jones']",Correct
"""Who plays Arizona Robbins in the US TV series """"Grey's Anatomy""""?"""," Jessica Capshaw
",['jessica capshaw'],Correct
What is the first real name of singer Leo Sayer?," Gerard Higgs
",['gerard'],Incorrect
Which villainous soap character is played by John Altman?," Nick Cotton in Eastenders
","['nick cotton', 'nasty nick cotton']",Incorrect
How was Marie Antoinette killed?," guillotine
","['use of guillotine in paris', 'guillitine', 'guillotines', 'louisette', 'gillotine', 'guillotine', 'guilottine', 'henri languille', 'guillotined', 'fallbeil', 'guilotine', 'gullotine']",Correct
Which city hosts the headquarters of the International Red Cross and Red Crescent Movement?," Geneva
","['gɛnf', 'geneva', 'geneva switzerland', 'genève', 'geneva ge', 'geneva palexpo', 'geneva geneva', 'genevan', 'pâquis', 'geneve', 'city of geneva', 'un locode chgva', 'génève', 'genevese', 'geneva ch ge', 'genf']",Correct
The Scottish-American industrialist and philanthropist Andrew Carnegie (1835-1919) pioneered and made his vast fortune in which industry in late 1800s USA?," Steel
","['steel plate', 'titanic steel', 'steel sheeting', 'steel metal', 'steel truss', 'steel construction', 'steelworker', 'steel alloy', 'steel', 'steels', 'steel in africa', 'steel worker', 'crude steel', 'steel workers', 'steelworkers', 'steel industry', 'unwrapped steel', 'long steel products', 'steel manufacture']",Correct
Leon Frank Czolgosz assassinated which US president in 1901?,"20th - McKinley
","['william mckinley jr', 'mckinleynomics', 'president mckinley', 'william mckinnley', 'presidency of william mckinley', 'w mckinley', 'william mckinley politician', '25th president of united states', 'mckinley william', 'william mckinley', 'president william mckinley', 'mckinley administration', 'william m kinley']",Incorrect
"The Recreation Cricket Ground in St John's, on the island of Antigua, is also known by the name of which famous West Indian cricketer?"," Sir Vivian Richards
","['sir viv', 'sir isaac vivian alexander richards knh', 'sir vivian richards', 'viv richards', 'sir viv richards', 'iva richards', 'isaac vivian alexander richards', 'vivian richards', 'sir isaac vivian alexander richards']",Correct
"Who topped the charts with ‘He’s Not Heavy, He’s My Brother’ in 1969?"," The Hollies
","['hollies', 'hollys', 'l ransford']",Correct
"Located in the Orkney Islands, which sea stack is the third tallest in Britain?","	Skerry of Eday
",['old man of hoy'],Incorrect
"Chuck Wepner, an obscure boxer from New Jersey who once went 15 rounds with Muhammad Ali in a fight served as the inspiration for the creation of what on-screen personality?"," Rocky Balboa
","['rocky movie', 'mac lee green', 'rocky 1', 'rocky', 'rocky 1976 film', 'rocky 1976', 'rocky i', 'rocky film', 'spider rico']",Incorrect
What is the largest Caribbean Island?," Cuba
","['cuba', 'people s republic of cuba', 'administrative divisions of cuba', 'cuban news agency', 'iso 3166 1 cu', 'etymology of cuba', 'isla juana', 'communist cuba', 'second republic of cuba', 'republic of cuba', 'república de cuba', 'cuba island', 'republica de cuba', 'prehistory of cuba', 'red cuba', 'name of cuba', 'subdivisions of cuba']",Correct
"In 1976, which song was knocked off the number one spot by another song, the title of which is mentioned in its own lyrics?","50 Ways To Leave Your Lover
","['bohemian rhapsody', 'bo rhap', 'bohemian rhapsody song', 'bohamian rhapsody', 'borhap', 'bohemian rhapsody 1991 version', 'bohemian rapcity', 'bohemian rapsody', 'bohemian rap city', 'fred s thing', 'bo rap']",Incorrect
"""Which TV series began with the words, """"There is nothing wrong with your television set""""""","2001: A Space Odyssey
","['outer limits disambiguation', 'outer limits', 'outer limits tv series']",Incorrect
"Religous reformers - which 14th century Oxford scholar, initially famous for translating the Bible from Latin into English, later criticised the wealth and power of the church, questioning the scriptural basis of the papacy? His followers were known as Lollards."," John Wycliffe
","['wycliff', 'john wyclif', 'wiclef', 'wyclif john', 'wiclif or wyclif john', 'johannes wyclif', 'john wycliff', 'john wyclyf', 'john wyckliffe', 'blackfriars synod', 'morning star of reformation', 'john wickliffe', 'wyclifian', 'wycliffites', 'wycliffite', 'john wicliffe', 'john wycliffe', 'john wickliff', 'john wiclif', 'wyclif', 'wiclif']",Correct
Frank Beard is the only clean shaven member of which group?," ZZ Top
","['lanier greig', 'z top', 'dan mitchell musician', 'ćć top', 'billy etheridge', 'zztop', 'z z top', 'that little ol band from texas', 'zz top', 'zz tops']",Correct
Abyssinia was the former name of which country?," Ethiopia
","['democratic republic of ethiopia', 'ኢትዮጵያ', 'aethiopia', 'federal democratic republic of ethiopia', 'ethiopioa', 'ethopian', 'ethiopian', 'iso 3166 1 et', 'ityop ia', 'ethiopai', 'etheopia', 'ityoṗṗya', 'names of ethiopia', 'name of ethiopia', 'abysinna', 'federal republic of ethiopia', 'abbysinnia', 'fdre', 'æthiopia', 'etymology of ethiopia', 'ethiop', 'prehistory of ethiopia', 'ityop iya', 'ityop pya', 'ethiopia', 'ethiopean', 'abissinia', 'ītyōṗṗyā', 'etiopia', 'ʾītyōṗṗyā', 'habeshistan', 'ityoppya']",Correct
Who released an album in 2013 called simply 'New'?," Paul McCartney
","['mccartney paul', 'paul mccartney s solo career', 'apollo c vermouth', 'james paul mccartney', 'bernard webb', 'paul mcartney', 'wings lead singer', 'paul mc cartney', 'sir james paul mccartney', 'beatle paul', 'gladys jenkins', 'ballets to music of paul mccartney', 'sir james paul mccartney mbe', 'denis o bell', 'paul ramone', 'paul mccartny', 'sir paul mccartney', 'paul maccartney', 'paul ramon', 'paul mccartney', 'paul mccartney relationships and marriages']",Correct
Who published a report after a Public Enquiry into racial disturbances in South East London in April 1981?," Lord Scarman
","['lord justice scarman', 'leslie scarman baron scarman', 'lord scarman', 'leslie george scarman', 'leslie scarman', 'baron scarman', 'scarman']",Correct
What invasive species has been blamed for reducing mammal populations in the Everglades?," Burmese python
","['python bivittatus', 'golden python', 'albino pythons', 'albino burmese python', 'python molurus bivittatus', 'burmese pythons', 'albino python', 'burmese python']",Correct
"In the 19th century, Edward Gibbon Wakefield set up which organisation to colonise New Zealand?"," New Zealand Company
","['new zealand association', 'new zealand company', 'new zealand land company']",Correct
In which constellation is the star Rigel?,"0ri0n
","['orion music', 'orion class spaceship', 'orions disambiguation', 'orion system', 'orion', 'orions', 'orion song', 'orion disambiguation']",Incorrect
Which everyday objects are featured in the painting 'The Persistence Of Memory'?,"6 watches
","['timepiece', 'analogue clock', 'clocks', 'clock calendar', 'garage clock', 'timekeeping device', 'mechanical clock', 'analog clocks', 'clock design', 'clocks and watches', 'wall clock', 'ancient ways of telling time', 'timepieces', 'analog clock', 'clock']",Incorrect
Which country assumed the Presidency of the European Union on 1st. July 2009?," Sweden
","['ulf bergman', 'swea region', 'swedish origin', 'swedish climate', 'kingdom of sweden', 'sveden', 'suecia', 'swedish realm', 'zweden', 'iso 3166 1 se', 'mainland sweden', 'konungariket sverige', 'schweden', 'sweden', 'sverige', 'swedish sin', 'climate of sweden', 'etymology of sweden']",Correct
