question,answer,logits,normalized_aliases
"Which essential part of ballet training, still in use, was devised by Pierre Beauchamp in the late 17th century?","5 positions
","[[0.4765796959400177, 0.5234203934669495]]","['positions of feet in ballet', 'positions of feet', 'five positions of feet', 'feet positions']"
Into which element is Hydrogen converted in the Sun?,"4 He
","[[0.25091278553009033, 0.7490872144699097]]","['solid helium', 'helium ii', 'helium shortage', 'atcvet code qv03an03', 'two fluid model for helium', 'helium', 'helium gas', 'superfluid helium', 'element 2', 'atomic number 2', 'he element', 'balloon grade helium', 'inhaling helium', 'e939', 'atc code v03an03']"
Sarawak is a state in which country?," Malaysia
","[[0.6477982401847839, 0.35220178961753845]]","['name of malaysia', 'malayasia', 'malyasia', 'maylaysia', 'malaysia', 'malaisie', 'malaisia', 'malasia', 'm sia', 'kingdom of malaysia', 'republic of malaysia', '马来西亚', 'federation state of malaysia', 'malaysian federation', 'malaixiya', 'etymology of malaysia', 'maylasia', 'malaysia sports', 'federation of malaysia', 'malay kingdom', 'மலேசியா', 'ماليزيا', 'malaysian kingdom', 'iso 3166 1 my', 'persekutuan malaysia']"
Who wrote the poem 'Easter 1916'?," Yeats
","[[0.4263215959072113, 0.5736784338951111]]","['wb yeats', 'yeats', 'william butler yeats', 'student of irish literature', 'secret rose', 'wind among reeds', 'w b yeats in popular culture', 'william yeats', 'william b yeats', 'd e d i', 'w b yates', 'w b yeats', 'wby', 'ganconagh', 'on baile s strand']"
Which famous military leader was Deputy Commander of NATO forces from 1951 to 1958?," Eisenhower
","[[0.36296921968460083, 0.6370307803153992]]","['montgomery', 'montgomery disambiguation', 'montgomerie']"
"Which pop group comprised John Gorman, Roger McGough and Mike McGear?","10cc
","[[0.22815649211406708, 0.7718434929847717]]","['pipe staging', 'scaffolds', 'scaffolding', 'putlog', 'pump jack', 'scaffold']"
"In the George Orwell novel Animal Farm, what sort of animal was Napoleon ?"," Pig
","[[0.6513549089431763, 0.3486451804637909]]","['pigs album', 'pig disambiguation', 'pig game', 'pig film', 'pig mammalia', 'pigs film', 'pigs', 'pigs disambiguation', 'pig']"
Who wrote 'An Enemy of the People'?," Henrik Isben
","[[0.39606812596321106, 0.6039317846298218]]","['brynjulf bjarme', 'johan ibsen', 'ibsenism', 'norma ibsen', 'henrik ibsen', 'ibsen henrik johan', 'brynjolf bjarme', 'henryk ibsen', 'ibsen', 'henrick ibsen', 'isben', 'h ibsen', 'ibsenesque', 'ibsenian', 'bjarme', 'henrik johan ibsen']"
"In humans, the right lung is divided into how many lobes?","2
","[[0.3208213150501251, 0.6791787147521973]]","['three', '3']"
"In early 2014, Prof. Maryam Mirzakhani achieved a unique and highly meritorious distinction. What subject does she teach at Stanford University?"," Mathematics
","[[0.5467381477355957, 0.4532618224620819]]","['matemathics', 'mathematics', 'mathematics and statistics', 'mathematics research', 'change mathematics', 'mathemetics', 'mathamatics', 'mathmetics', 'mathematical discipline', 'mathematically', 'math facts', 'mathemathics', 'math', 'matheamtics', 'mathematical', 'mathematical research', 'mathematic', 'mathematik', 'mathematicsandstatistics', 'mathématiques', 'methematics', 'mathmatics', 'maths']"
Who was the 'father of medicine' to whom a code of medical ethics is attributed and which bears his name?," Hippocrates
","[[0.314050555229187, 0.6859495043754578]]","['father of medicine', 'hippocrates of kos', 'ἱπποκράτης', 'hypocrates', 'hippocratic school of medicine', 'hippo crates', 'hippocrates of cos', 'hippocrates', 'hippocratic', 'father of western medicine', 'hippokrates of kos', 'hypocretes', 'hippokrates', 'hipocrates', 'natura sanat medicus curat', 'hipocretes']"
"What is the title of late actor Charlie Chaplin’s last completed film, launched in the UK in 1967?","2001: A Space Odyssey
","[[0.13477592170238495, 0.8652240633964539]]",['countess from hong kong']
"Based on a mythological tale, which 1689 opera by Henry Purcell is considered by many to be the first English-language operatic masterpiece?"," Dido and Aeneas
","[[0.3812195658683777, 0.6187804341316223]]","['dido and aeneas', 'dido and æneas', 'dido and aeneas opera', 'dido and aeneas purcell', 'dido aeneas', 'dido and eneas']"
What is the North African dish of crushed wheat or course flour steamed over broth called?,"2018
","[[0.17781086266040802, 0.8221890926361084]]","['maftoul', 'coos coos', 'kus kus', 'berkoukes', 'kuskus', 'cuz cuz', 'cous cous', 'couscous', 'gusku', 'berkouks']"
How often is the Oberammergau Passion Play performed?,"10 years
","[[0.3923368752002716, 0.6076632142066956]]",['every ten years']
The name of what literary swashbuckler is the answer to the final question in the Oscar winning Slumdog Millionaire?,"1001 Nights
","[[0.39981159567832947, 0.6001883149147034]]",['aramis']
With which other shipping line did Cunard merge in 1934?,"20th Century
","[[0.23370636999607086, 0.7662936449050903]]","['white star disambiguation', 'white star', 'whitestar']"
Ombrophobia is an irrational fear of which weather condition?," Rain
","[[0.4687906503677368, 0.531209409236908]]","['rainy', '⛆', 'torrential rain', 'heavy rain meteorology', 'intensity frequency and duration', 'hyetal', 'raining', 'rainwater', 'rained', 'rainfall', 'rains', 'wettest spot on earth', 'pluviophile', '🌧', 'rain', 'rainstorm', 'rain storm', 'pissing it down', 'rainiest', 'rain measurement']"
"The fifth planet in the solar system, which planet is the largest?","5th planet
","[[0.28776779770851135, 0.7122321724891663]]","['jupiter s', 'jupiter', 'mass of jupiter', 'jupiter astronomy', 'jovian diameter', 'jupiter radius', 'sun f', 'weight of jupiter', 'zenography', 'life on jupiter', '♃', 'sol 5', 'jovian orbit', 'jupiter weight', 'wood star', 'planet jupiter', 'physical characteristics of jupiter', 'jupitero', 'sol v', 'jupitor', 'sol f', 'astronomy jupiter', 'jupiter planet', 'jupiter s radio emissions']"
Which country does the airline Ansett come from?," Australia
","[[0.4455295503139496, 0.5544704794883728]]","['australie', 'orstraya', 'federal australia', 'australias', 'empire of australia', 'modern australia', 'asutralia', 'iso 3166 1 au', 'australien', 'australia country', 'australia federation', 'austraila', 'country life in australia', 'philosophy in australia', 'australlia', 'continental australia', 'pax australiana', 'austrlaia', 'australia dominion', 'australian woman s day', 'australia monarchy', 'australia', 'australian country life', 'united states of australia', 'mainland australia', 'australia commonwealth', 'austalia', 'australija', 'australocentric', 'peace of australia', 'australia realm', 'ostralia', 'australocentrist', 'australian geopolitics', 'australia nation', 'australia commonwealth realm', 'australian', 'australian city life', 'australia empire', 'austraya', 'australiia', 'geopolitics of australia', 'australo', 'technology in australia', 'ausrtalia', 'australai', 'australia nation state', 'science in australia', 'dominion of australia', 'commonwealth of australia', 'australia state', 'aussieland', 'australian mainland', 'australian s', 'imperial australia', 'austrailia', 'city life in australia', 'austrlia', 'commonwealth australia', 'straya', 'australocentrism', 'australia s', 'australia constitutional monarchy', 'etymology of australia', 'australian commonwealth', 'new australian']"
"""What famous book begins: """"Chug, chug, chug. Puff, puff, puff""""?""","30,000 Leagues Under The Sea
","[[0.314050555229187, 0.6859495043754578]]","['watty piper', 'little train that could', 'i think i can', 'little engine that could', 'pony engine']"
Name the last ruling house of Imperial Germany?,"1871-1918
","[[0.3073580265045166, 0.6926419734954834]]","['prince of prussia', 'pretenders to german throne', 'hohenzollern dynasty', 'zollern', 'hohenzollerns', 'hohenzolern', 'german princely family hohenzollern', 'house of hohenzolern', 'count of hohenzollern', 'house hohenzollern', 'hohenzollern monarchy', 'swabian hohenzollerns', 'hohenzollern', 'prince christian ludwig of prussia', 'nihil sine deus', 'county of hohenzollern', 'house of hohenzollern', 'county of zollern', 'count of zollern']"
What was the Nintendo corporation's first main product line?,"8-bit home consoles
","[[0.314050555229187, 0.6859495043754578]]","['5 of diamonds', 'playing card deck', 'ten of spades', 'eight of spades', 'six of spades', 'pack of playing cards', 'chinese origin of playing cards', 'playingcard deck', 'hands of playingcards', 'four of hearts', '10 of clubs', 'packs of playing cards', '7 of spades', 'treys', 'playingcards', 'hands of cards', '9 of clubs', '5 playing card', 'poker card', '4 of clubs', 'playing cards', 'card hands', 'eight of clubs', 'five of clubs', 'deck of cards disambiguation', 'playing card decks', 'pack of cards', '8 playing card', 'playing card pack', 'game card', '10 playing card', 'hands of playing cards', '4 of diamonds', '3 of hearts', 'nine of spades', '5 of clubs', 'four of diamonds', 'decks of playingcards', 'three of diamonds', 'seven of diamonds', '10 of diamonds', 'poker cards', 'two of clubs', 'nine of clubs', '牌', 'deck cards', '9 of hearts', 'ten of clubs', 'decks of playing cards', '3 of diamonds', 'two of spades', '6 of diamonds', '4 of spades', 'seven of spades', '3 playing card', 'jumbo playing cards', 'five of hearts', 'black club', '5 of spades', 'playingcard hand', '3 of spades', 'playingcard hands', '8 of spades', '10 of hearts', 'eight of hearts', '5 of hearts', 'four of spades', 'deck of playingcards', 'ten of hearts', '2 of clubs', 'packs of cards', '8 of hearts', 'playing card packs', 'hand of cards', '6 of spades', '6 of clubs', '6 playing card', '10 of spades', 'card hand', '4 playing card', '7 of hearts', 'poker deck', 'pack cards', 'red spade', 'seven of clubs', 'nine of hearts', '8 of clubs', 'playingcard', '9 of diamonds', 'card pack', '4 of hearts', 'blank card', 'card packs', 'five of spades', 'german deck of cards', 'playingcard packs', 'ten of diamonds', 'red club', 'hand of playing cards', 'short deck', 'packs of playingcards', 'decks of cards', '9 of spades', '2 of hearts', '2 playing card', 'playingcard pack', 'playing card anglo american', 'three of clubs', 'five of diamonds', '2 of diamonds', 'playing card', 'card playing', 'deck of playing cards', 'playingcard decks', 'deck of cards', 'two of diamonds', '8 of diamonds', 'pack of playingcards', 'seven of hearts', '7 playing card', 'eight of diamonds', 'playing card hands', 'four of clubs', '2 of spades', 'three of spades', '3 of clubs', 'cards and card games', '6 of hearts', '7 of clubs', 'six of diamonds', 'card decks', 'six of clubs', 'hand of playingcards', 'playing card hand', '9 playing card']"
"Bammy (Jamaica), Bannock (Scotland), Blaa (Ireland), Bublik (Poland), and Boule (France) are types of?","18th
","[[0.3073580265045166, 0.6926419734954834]]","['round of bread', 'bread crust', 'batch bread', 'round bread', 'bread making', 'ammunition bread', 'crust bread', 'pão', 'scali', 'double roti', 'bread round', 'milk loaf', '🍞', 'somun', 'heel bread', 'soft tack', 'breadmaking', 'loaves', 'raw toast', 'crusty bread', 'crust of bread', 'breads', 'leavened bread', 'bread']"
What is the principal language on the Galapagos Islands?," Spanish
","[[0.5234203934669495, 0.4765796959400177]]","['spanish', 'spainish', 'espaniol', 'spanish disambiguation', 'espagnol', 'español', 'espanhol', 'espa ol', 'espanish', 'espanol']"
What type of fish was Nemo?," Clownfish
","[[0.4843800961971283, 0.5156199336051941]]","['anenomefish', 'anemone fish', 'clown fish', 'amphiprion', 'clownfish', 'anemonesfish', 'amphiprioninae', 'clown anemonefish', 'anemonefish']"
Which African capital lies closest to the Greenwich Meridian?,"0 degrees longitude
","[[0.4339814782142639, 0.5660185217857361]]","['accra oil refineries', 'capital of ghana', 'accura', 'accra ghana', 'accra']"
From which of Shakespeare's plays does this quotation come :- The course of true love never did run smooth ?,"1 Henry IV
","[[0.36296921968460083, 0.6370307803153992]]","['middsummer night s dream', 'pease blossom', 'hermia and helena', 'demetrius midsummer night dream', 'midsummer nights dream', 'hippolyta shakespeare', 'amnd', 'peaseblossom', 'msnd', 'incidental music to midsummer night s dream', 'midsummernight s dream', 'lysander midsummer night s dream', 'midsummer night dream', 'midsummer night s dream act iv', 'midsummer night s dream', 'rude mechanicals', 'rude mechanic', 'mid summer night s dream', 'lysander midsummer night dream', 'lysander shakespeare', 'demetrius midsummer night s dream', 'midsummer s night dream', 'midſommer nights dreame', 'midsummer s dream', 'midsommer nights dreame']"
Which spaceman was the first to orbit the Earth?," Yuri Gagarin
","[[0.3415825068950653, 0.6584175229072571]]","['youri gagarine', 'jurij gagarin', 'iurii gagarin', 'yury gagarin', 'valentina goryacheva', 'gagarin', 'ю́рий алексе́евич гага́рин', 'juri gagarin', 'first human in space', 'first person in space', 'yuri gagarin', 'yury alekseyevich gagarin', 'юрий гагарин', 'yuri gegarin', 'yuri alekseyevich gagarin', 'yuri gargarin', 'yuri alexeyevich gagarin', 'yuriy gagarin', 'jurij alekseevič gagarin', 'gagarin yuri alekseyevich', 'first human spaceflight', 'jurij alekseevic gagarin', 'first man in space']"
‘Duck and dive’ represents which number in the game of Bingo?,"45
","[[0.2689414322376251, 0.7310585975646973]]","['25', 'twenty five']"
In The Simpsons what position is held by Joe Quimby?,"3rd
","[[0.1919327825307846, 0.8080672025680542]]","['acting mayor', 'mayor', 'mayor switzerland', 'mayors', 'sindaco', 'mayoral', 'reeve canada', 'elected mayor', 'municipality president', 'praefectus palatii', 'maer office', 'cheif burgess', 'mayoralty', 'mayoress']"
Which was the only 'Live 8' venue that was in the southern hemisphere?,"1000 Lake
","[[0.2018132209777832, 0.7981867790222168]]","['johansberg', 'yohannesburg', 'joburg', 'johannasberg', 'egoli', 'johannesb g', 'johannesburg south africa', 'johannesburg', 'jo bourg', 'johannesburg civic theatre', 'visitor attractions in johannesburg', 'johannesburg transvaal', 'un locode zajnb', 'jo burg', 'johannesgurg', 'johanessburg', 'jhb', 'johannesburg southafrica', 'johanesburg', 'johannesburg gauteng', 'jozi', 'johannes burg', 'joberg', 'johannesbourg']"
Which vitamin is also known as Calciferol?,"1
","[[0.19682618975639343, 0.8031737804412842]]","['dvion', 'vitamin d excess', 'calciferol', 'vitamin d', 'sunshine vitamin', 'vitamin d1', 'vitamen d', 'list of foods containing vitamin d']"
Which play by Alan Ayckbourn calls for a set with three double beds on stage simultaneously?,"20th Century Blues
","[[0.42250463366508484, 0.5774953365325928]]","['bedroom farce', 'sex farce']"
The Teddy bear is named after whom?,"26th President of the United States
","[[0.29098084568977356, 0.709019124507904]]","['t ros', 'cowboy president', 'theodore roosavelt', 'trust buster', 'president theodore roosevelt', 'teddy roosvelt', 'teddy rosevelt', 't roosevelt', 'roosevelt theodore', 'feddy roosevelt', 'cowboy of dakotas', 'teddy rose', '26th president of united states', 'teddy roosevelt foreign policy', 'teddy roose', 'teodoro roosevelt', 'theodore roosevelt', 'theodor roosevelt', 't roosevelt administration', 'teddy roosevelt']"
With which sport would you associate the commentator Sid Waddell?,"80s wrestling
","[[0.3415825068950653, 0.6584175229072571]]","['dartboard', 'flight darts', 'dart board', 'electronic dartboard', 'jumpers darts', 'dart game', 'darts', 'round clock darts', 'darts sport']"
What was E.T.'s favorite candy?,"100-year-old gumdrops
","[[0.3775406777858734, 0.622459352016449]]","['reese s pieces', 'reeses pieces']"
The German surname Müller refers to what occupation?,"18th century farmer
","[[0.3073580265045166, 0.6926419734954834]]",['miller']
Providence is the capital of which US state?," Rhode Island
","[[0.34510529041290283, 0.6548947095870972]]","['symbols of rhode island', 'rode island', 'rhode island cuisine', 'transportation in rhode island', 'rhode island u s state', 'rhode island treasurer', 'rhode island and providence plantations', 'religion in rhode island', 'education in rhode island', 'rhode island general treasurer', 'sports in rhode island', 'economy of rhode island', 'thirteenth state', 'state of rhode island', 'ocean state', 'us ri', 'rhode island governor s mansion', 'rhodeisland', 'transport in rhode island', 'rhode island villages', 'rhode island united states', '13th state', 'state of rhode island and providence plantations', 'climate of rhode island', 'rhode islander', 'geography of rhode island', 'r i', 'ri', 'villages of rhode island', 'little rhody', 'demographics of rhode island', 'rhode island agriculture', 'rhode island state', 'road island', 'culture of rhode island', 'rogue s island', 'rhode island', 'rhode islanders']"
"What city serves as the Prime Meridian, 0 degrees for longitude calculations?"," Greenwich
","[[0.4455295503139496, 0.5544704794883728]]","['greenwich parish', 'grenwich', 'greenwich', 'greenwich london england', 'greenwich england', 'greenwich london', 'greenwich uk', 'greenwich kent', 'greenwich market', 'greenwich visitor centre', 'maritime greenwich']"
"In Scotland, Burns Night is celebrated during which month of the year?","1st of January
","[[0.5, 0.5]]","['janruary', 'prosinec', 'january', 'januray', 'jan', '㋀', 'enero']"
Which was the first National Park in the United States of America?,"1872
","[[0.2751297354698181, 0.7248703241348267]]","['yellowstone nationa park', 'yellow stone', 'yellowstone national parc', 'yellowstone national park archives', 'yellowstone national park wy', 'yellowstone np', 'yellow stone national park', 'yellowstone park', 'yellowstone history', 'yellowstone', 'yellowstone climate', 'mallard lake trail', 'yellowstone act', 'yellowstone national park montana', 'yellowstone national park']"
What global brand withdrew ('rested') its old red-jacketed striding man 104 years after its first appearance in 1908?,"7 Up
","[[0.3702253997325897, 0.6297746300697327]]","['walker s kilmarnock whisky', 'johnnie walker black', 'jhonny walker', 'johnnie walker whisky', 'johnnie walker black label', 'johnnie walker', 'double black', 'johnnie walker blue label', 'johnnie walker red', 'johnnie walker red label', 'striding man']"
Who wrote a series of novels which all had 'Rabbit' in the title?," John Updike
","[[0.5195213556289673, 0.4804787039756775]]","['john updike', 'john hoyer updike']"
"What was the name of the Nottinghamshire fast bowler, who, together with Harold Larwood, took part in the infamous Bodyline tour in Australia, in 1932-33?","1932-33
","[[0.5, 0.5]]",['bill voce']
"Steve Davis reached every final of the Snooker World Championship between 1983 and 1989, but who were the two players who beat him?","1. Stephen Hendry 2. Jimmy White
","[[0.20946967601776123, 0.7905303239822388]]",['dennis taylor and joe johnson']
"Which American explorer claimed to have been the first person, on 6 April 1909, to reach the geographic North Pole?"," Robert Peary
","[[0.34510529041290283, 0.6548947095870972]]","['admiral peary', 'commodore robert peary', 'robert edwin peary', 'camp jesup', 'robert peary', 'peary north pole expedition', 'robert edwin peary sr', 'robert e peary', 'seegloo', 'r e peary']"
"In the US television show ‘The Sopranos’, what is the nickname of Paulie Gualtieri?","106
","[[0.3073580265045166, 0.6926419734954834]]","['walnuts', 'walnut', 'franquette', 'mellanaise', 'noix', 'akhrot', 'wallnut']"
Which river enters the Irish Sea at Drogheda?," Boyne
","[[0.5078118443489075, 0.49218809604644775]]","['boyne disambiguation', 'boyne', 'boyne ontario']"
Which team in the 80s won the Super Bowl by the biggest margin?,"49ers
","[[0.18242551386356354, 0.8175744414329529]]","['chicago bears', 'chicago staleys', 'chicago gators', 'decatur staleys', 'save da planet', 'chicago bears football']"
In which decade was the Suez Canal opened; Abrahan Lincioln elected American President; Prince Albert died of typhoid?,"1860s
","[[0.3415825068950653, 0.6584175229072571]]","['1860–1869', 'eighteen sixties', '1860 1869', '1860 s', '1860s']"
"""Which 19th century Austrian composer is famous for his waltzes such as """"The Blue Danube"""" and """"Tales of the Vienna Woods"""", and the operetta """"Die Fledermaus""""?"""," Johann Strauss II
","[[0.314050555229187, 0.6859495043754578]]","['johann strauß younger', 'johann strauss son', 'johann sebastian strauss', 'ballets by johann strauss ii', 'johann younger strauss', 'strauss jr', 'johan straus ii', 'johan strauss', 'johann strauß son', 'johann strauß ii', 'strauss younger', 'j strauss ii', 'johann straus ii', 'strauss waltzes', 'johann strauß', 'johann strauss jnr', 'strauss jnr', 'johann strauss', 'johann strauss jr', 'johann strauss ii', 'johann baptist strauss jr', 'johan strauss ii', 'johann straus', 'strauss ii', 'johann strauss younger', 'strauss junior', 'waltz king', 'johann strauss junior']"
"It is believed that the first of what type of business was opened in 1936 in Fort Worth, Texas by Noah Brannen?","24-hour drive-in restaurant
","[[0.3073580265045166, 0.6926419734954834]]","['self service laundry', 'laundry mat', 'coin laundry', 'fluff n fold', 'laundrymat', 'washateria', 'laundromat', 'laundromats', 'laundtomat', 'laundrette', 'fluff and fold', 'launderette']"
"Bort or boart refers to waste/inferior what, used for industrial purposes?"," Coal
","[[0.4073334336280823, 0.5926666259765625]]","['4 c s of diamonds', 'polished diamond', '4 c s of diamond grading', 'industrial diamonds', 'type ii diamond', 'mitre crozier applique', 'diamond powder', 'diamonds', 'industrial diamond', 'diamond', 'diamond industry', 'daimonds', 'bortz', 'natural diamond', 'mitre crozier appliqué', 'impact diamonds', 'diamonad']"
Which aircraft company manufactured the Spitfire?,"1000s
","[[0.1710612028837204, 0.8289388418197632]]","['supermarine aviation works ltd', 'supermarine', 'supermarine aviation']"
Which fish is traditionally used in the Cornwall dish 'Stargazy Pie'?,"1: Cod
","[[0.20561504364013672, 0.7943849563598633]]","['sardine', 'chirimen jako', 'chalai', 'pilchard', 'iwashi no agemono', 'cornish sardine', 'sardine can', 'pilchards', 'sardines']"
Which was the last Olympic Games to be opened by a ruling British monarch?,"1948
","[[0.24508501589298248, 0.7549149990081787]]","['montreal quebec', 'weather in montreal', 'montreol', 'montreal qb', 'montreal s', 'montréal', 'funtreal', 'un locode camtr', 'weather in montréal', 'montreal qc', 'montrealer', 'montra c al', 'montréal québec', 'montreal quebec canada', 'montréal s', 'montrela', 'montréal canada', 'montreal pq', 'montréal québec province', 'montréal quebec', 'team990', 'montreal skyline', 'montreal qc canada', 'montreal québec', 'montréal quebec province', 'ville de montréal', 'sister cities of montreal', 'montréal qc', 'montrealers', 'montreal que', 'tiohtiá ke', 'montréal qb', 'montreal canada', 'city of montreal', 'montréal québec canada', 'city of montréal', 'ville de montreal', 'montréal pq', 'motnreal', 'montrea', 'montreal']"
Bumble is the nickname of which sports commentator?,"1980s
","[[0.17328819632530212, 0.8267117738723755]]","['david lloyd', 'david lloyd footballer', 'lloyd david', 'david lloyd disambiguation', 'dave lloyd']"
What tire company created a restaurant guide in an effort to promote driving?," Michelin
","[[0.4687906503677368, 0.531209409236908]]","['michelin tire company', 'michelin cgde b brown', 'compagnie générale des établissements michelin', 'michelin group', 'kleber tire', 'michelin tires', 'michelin', 'michelin et cie', 'compagnie generale des etablissements michelin', 'michilen']"
"Which bruising 19th century American, the last of the bare knuckle boxing heavyweight champions, was the first athlete to earn over one million dollars?"," John L Sullivan
","[[0.39606812596321106, 0.6039317846298218]]","['john lawrence sullivan', 'john l sullivan', 'great john l', 'sullivan john l', 'john l sullivan boxer']"
What beer was advertised with the slogan Reach for Greatness,"80/20
","[[0.29421496391296387, 0.7057850360870361]]","['bass musical term', 'basses', 'bass disambiguation', 'bass']"
How many apostles are there in the painting ‘The Last Supper’ by Leonardo da Vinci?,"12
","[[0.28140559792518616, 0.7185943722724915]]","['twelve', '12']"
What is the scientific name for the tube connecting the mouth with the stomach?," Oesophagus
","[[0.46490156650543213, 0.5350984334945679]]","['esophageal sphincter disambiguation', 'eosophagus', 'lower oesophageal sphincter', 'food pipe', 'oesophagus', 'esophageal sphincter', 'upper oesophageal sphincter', 'mucosal layer of esophagus', 'asophogus', 'gastroesophageal sphincter', 'weazen', 'foodpipe', 'oesophageal', 'esophagous', 'cytopharynx', 'weasand', 'esophageal sphincters', 'esophageal sphincter upper', 'gastro oesophageal junction', 'esophageal diseases', 'œsophagus', 'oesophageal sphincter', 'esophagus', 'upper esophageal sphincter', 'gullet', 'esophageal disorder', 'pharyngoesophageal sphincter']"
"""What is the first sentence of the book """"Nineteen Eighty Four"""" by George Orwell?"""," It was a bright cold day in April, and the clocks were striking thirteen.
","[[0.5156199336051941, 0.4843800961971283]]",['it was bright cold day in april and clocks were striking thirteen']
In which televisionprogramme did the character 'Detective Mark Petrie' appear?,"47th Street
","[[0.2120688110589981, 0.7879312038421631]]","['cagney lacey return', 'mary beth lacey', 'cagney lacey', 'cagney and lacey', 'christine cagney']"
"""What party game, released by Milton Bradley in 1966, was called """"sex in a box""""?""","3-D Checkers
","[[0.2751297354698181, 0.7248703241348267]]","['twister', 'twister disambiguation', 'twister film']"
"Carried out on May 2nd 2011, what was the objective of Operation Neptune Spear?","2011 killing of Osama bin Laden
","[[0.4687906503677368, 0.531209409236908]]","['burial of osama bin laden', 'death of osama bin laden', 'death of osama', 'funeral of osama bin laden', 'abbottabad operation', 'sohaib athar', 'cairo dog', 'death of obama bin laden', 'assassination of usama bin laden', 'athar sohaib', 'osama bin laden killing', 'execution of osama bin laden', 'operation neptune s spear', 'coffity', 'death of obl', 'history of osama bin laden death reports', 'death of osama bin ladin', 'assassination attempts on osama bin laden', 'osama bin laden s death', 'geronimo ekia', 'osama bin laden death', 'assassination attempts against osama bin laden', 'death of usama bin laden', 'murder of osama bin laden', 'may 2 2011', 'osama bin laden capture', 'death of bin laden', '2011 abottabad raid', 'kill osama bin laden', 'killing of bin laden', 'sohiab', 'death of usama bin ladin', 'assassination of osama bin laden', 'neptune s spear', 'abbotabad operation', 'killing of osama bin laden', 'operation neptune spear', 'legal debate over killing of osama bin laden', 'critiques of osama bin laden burial at sea', 'osama bin laden assassination', 'osama bin laden dead', 'osama bin laden killed']"
Who composed ‘A Sea Symphony’ between 1903 and 1909?,"1909
","[[0.4378235340118408, 0.562176525592804]]","['ralph vaughan williams', 'vaughan williams', 'vaughan williams om', 'ballets by ralph vaughan williams', '22ralph vaughn williams 22', 'ralph van williams', 'ralph vaughn williams', 'ralph von willams', 'vaughn williams', 'ralph vaughan williams om']"
In which 1988 film did Davis play the title character with the surname Ufgood?,"101 Dalmatians
","[[0.3345894515514374, 0.665410578250885]]","['willow', 'willow bark', 'hooker s willow', 'osiers', 'willowily', 'salix', 'booth willow', 'willow tree', 'willows', 'willow trees', 'sallow', 'willowiness', 'willowy']"
In which year did Queen Elizabeth the Queen Mother die?,"2002
","[[0.2628418505191803, 0.7371581792831421]]","['2002', 'two thousand and two']"
On what island is the city of Palma located?," Mallorca
","[[0.5273165106773376, 0.47268345952033997]]","['majorcans', 'mallorcan', 'majorca', 'mayorcans', 'majorcan', 'majorca spain', 'mallorca', 'mallorcans', 'mallorca spain', 'mayorca', 'islands of majorca', 'mayorcan']"
What is the Caribbean island of St Christopher commonly known as?," St Kitts
","[[0.29421496391296387, 0.7057850360870361]]","['saint christopher island', 'america st kitts', 'saint kitts', 'island of saint kitts', 'st kitts', 'sandy point saint kitts', 'saint christophe island', 'st christopher s']"
"According to 2014 Twitter statistics, how many million tweets are sent every day?","350
","[[0.5467381477355957, 0.4532618224620819]]","['five hundred', '500']"
What is the thick watery substance filling the space between the lens and the cornea of the eye?,"1. Aqueous humour
","[[0.19436781108379364, 0.8056321740150452]]","['humor aquosus', 'aqueous humor', 'aqueous humour']"
"In the final Harry Potter novel, who becomes headmaster of Hogwarts School?"," Albus Dumbledore
","[[0.5660185217857361, 0.4339814782142639]]","['tobias snape and eileen prince', 'half blood prince character', 'serverus snape', 'professor snape', 'severus snape', 'severus prince', 'snivellus', 'half blood prince', 'tobias snape', 'eileen prince', 'severes snape']"
"One of the principal rules taught in medical school, ‘Primum non nocere’, translates to what in English?","1st do no harm
","[[0.4455295503139496, 0.5544704794883728]]",['first do no harm']
What country is the world’s largest tea producing nation?," China
","[[0.5117166042327881, 0.4882833957672119]]","['భారత గణతంత్ర రాజ్యము', 'భారత రిపబ్లిక్', 'bhārtiya prajāsattāk', 'republic of india', 'ভারত', 'hindio', 'ਭਾਰਤ ਗਣਤੰਤਰ', 'भारतीय प्रजासत्ताक', 'ભારતીય ગણતંત્ર', 'indea', 'ভারত গণরাজ্য', 'இந்தியக் குடியரசு', 'india country', 'les indes', 'هندستانڀارت،', 'etymology of india', 'भारतमहाराज्यम्', 'india', 'جمہوٗرِیت بًارت', 'भारतीय गणराज्याच्या', 'ভারতরাষ্টৃ', 'india s', 'ভারতীয় প্রজাতন্ত্র', 'ഭാരത മഹാരാജ്യം', 'bhārat gaṇarājya', 'ভাৰত গণৰাজ্য', 'ଭାରତ ଗଣରାଜ୍ଯ', 'இந்திய', 'जुम्हूरियत भारत', 'union of india', 'hindistan', 'indya', 'bhart', 'iso 3166 1 in', 'bharat ganrajya', 'भारत गणराज्य', 'indian republic', 'ಭಾರತ ಗಣರಾಜ್ಯ', 'indian state', 'جمہوریہ بھارت', 'iso 3166 1 alpha 3 ind']"
Apart from York which is North Yorkshire's only other city?,"1000000
","[[0.22000709176063538, 0.7799928784370422]]","['city of ripon yorkshire', 'ripon obelisk', 'ripon abbey', 'ripon uk', 'ripon hornblower', 'ripon england', 'ripon yorkshire', 'ripon', 'ripon north yorkshire', 'city of ripon north yorkshire']"
In Jack and the Beanstalk what cried out to the giant to warn him that Jack was stealing it," The cow
","[[0.6001883149147034, 0.39981159567832947]]","['historic arkansas river project', 'harp', 'h r p']"
