question,answer,normalized_aliases
N'djamena is the capital of which country?," Chad
","['chad country', 'republic of chad', 'tsjad', 'ǧumhūriyyat tšād', 'chade', 'tschad', 'gumhuriyyat tšad', 'tchad', 'تشاد', 'république du tchad', 'chadian republic', 'iso 3166 1 td', 'tšād', 'جمهورية تشاد', 'republique du tchad', 'culture of chad', 'jumhūriyyat tshād', 'chad', 'tshād']"
Who captained the 2009 England women's cricket team?," Claire Taylor
",['charlotte edwards']
Which state does Bob Dylan come from," Minnesota
","['minnesota u s', 'us mn', 'u s state of minnesota', 'minnessotta', 'land of ten thousand lakes', 'government of minnesota', 'minnasota', 'mn state', 'land of 10 000 lakes', 'minnesota commissioner of labor and industry', 'us state of minnesota', 'minnesota us', 'minessota', 'minasota', 'bread and butter state', 'minnesota u s state', 'minnesnowta', 'minnesoda', 'north star state', 'thirty second state', 'minnesota united states', 'minnesota state', 'minnestoa', 'minesota', 'commissioner of minnesota management and budget office', 'minn', 'minnesota usa', '32nd state', 'religion in minnesota', 'state of minnesota', 'gopher state', 'minesotta', 'symbols of state of minnesota', 'minnesota america', 'minnesotta', 'minnesota united states of america', 'minessotta', 'state symbols of minnesota', '10000 lakes', 'minnessota', 'minnesota']"
Which country produces the world's largest quantity of municipal waste per person per year?,"1. United States
","['u s of america', 'u–s–', 'estatos unitos', 'amarica', 'america united states of', 'v s amerika', 'states of america', 'amurika', 'unitesd states', 'estados unidos de america', 'america', 'united states of america oldpage', 'america us', 'nited states', 'etats unis d amerique', 'united stated', 'verenigde state van amerika', 'america united states', 'merica', 'amurka', 'amurica', 'v s america', 'us', 'americophile', 'états unis d amérique', 'united states america', 'الولايات المتحدة الأمريكية', 'eeuu', 'amercia', 'united states of america u s', 'unitd states', 'us america', 'estados unidos', 'etymology of united states', 'america magazine', 'u s american', 'united states of america usa', 'united states of amerca', 'united states u s', 'us and', 'etats unis', 'untied states of america', 'united states introduction', 'america usa', 'u s of', 'iso 3166 1 us', 'federal united states', 'usofa', 'americia', 'untied states', 'america class', 'american united states', 'nagkaisang mga estado', 'estaos unios', 'vs america', 'united states', 'united states country', 'los estados unidos de america', 'los estados unidos de américa', 'america country', 'yankee land', 'usoa', 'u s', 'united states us', 'united states of america redirect', 'vereinigte staaten', 'estados unidos de américa', 'ee uu', 'unites states', 'stati uniti d america', 'los estados unidos', 'estaos uníos', 'amerka', 'us country', 'usa', 'unitedstates', 'unite states of america', 'états unis', 'united state of america', 'united staets of america', 'us of', 'unites states of america', 'united sates', 'u–s', 'name of united states', 'u s america', 'us of america', 'u –s –', 'united states of american', 'united states of america introduction', 'verenigde state', 'americaland', 'vs amerika', 'these united states of america', 'unite states', 'unietd states', 'united states of america', 'united–states', 'u –s']"
"""What was the name that US President Franklin D. Roosevelt gave to his package of economic programs in the mid 1930's with the goals of """"the 3 R's"""": Relief to the unemployed & farmers, Reform of business and financial practices, and Recovery of the economy?""","1930s New Deal
","['new deal s', 'hundred days congress', 'new deal', 'first new deal', 'roosevelt s new deal']"
Which actor in 2005 played the title role in the TV remake of Kojak?,"1950s
","['irving rhames', 'sleight of hand film', 'ving rhames', 'irving rameses rhames']"
What is the official designation of the Roman building commonly known as the Coliseum?," Flavian Amphitheater
","['colosseum italy', 'colisseum', 'coloseum', 'collosseum', 'coliseum theatre', 'roman colosseum', 'colloseum', 'amphitheatrum flavium', 'coliseum rome', 'collusem', 'vespasian amphitheatre', 'colosseum', 'flavian amphitheatre', 'rome colosseum', 'colosseum in rome', 'colosseum 9 5 05', 'flavius amphitheatre', 'coliseum of rome', 'anfiteatro flavio', 'collosium', 'flavian ampitheater', 'flavian ampitheatre', 'coliseum', 'colliseum', 'colosseo', 'roman coliseum', 'flavian amphitheater']"
"In Greek legend, a woodland deity, half man, half goat, is called a ?"," Satyr
","['baby satyr', 'satyrs', 'satrys', 'satyr', 'island satyr', 'libyan satyr', 'saturos', 'libyan aegipanes']"
In which country was the Young Pretender Charles Edward Stuart born?," Scotland
","['second italian republic', 'itàlia', 'italio', 'iso 3166 1 it', 'italija', 'etymology of italy', 'repubblica italiana', 'itali', 'italia', 'austrian empire italy', 'republic of italy', 'italiën', 'subdivisions of italy', 'italy', 'pollution in italy', 'administrative divisions of italy', 'italie', 'italian republic', 'environment of italy']"
The sun is currently a yellow dwarf. What will it become in about 5 billion years?,"100 times larger
","['red giant branch stars', 'm giant', 'red giant branch star', 'red giant star', 'red giant', 'm type giant', 'red giant branch', 'red giants']"
"Which Italian design company, best known for its jeans, was founded by Renzo Rosso in Molvena in 1978?","205 W
","['desiel', 'diesel', 'diesel disambiguation', 'deisel', 'diesil', 'diesels']"
"""Who wrote the book on which Tchaikovsky based his opera, """"Eugene Onegin""""?"""," Pushkin
","['alexander sergeyevich pushkin', 'alexander puszkin', 'alexander puschkin', 'aleksandr sergeevich pushkin', 's puschkin', 'alexander sergeievitch pushkin', 'pushkin', 'pouchekine', 'aleksander pushkin', 'алекса́ндр серге́евич пу́шкин', 'angelo poem', 'puszkin', 'александр пушкин', 'пушкин', 'alexander sergeievich pushkin', 'aleksandr sergeyevich pushkin', 'alexandre pushkin', 'alexander sergeevich pushkin', 'aleksander s pushkin', 'aleksandr sergeyevitch pushkin', 'alexander pushkin', 'pouchequine', 'александр сергеевич пушкин', 'aleksandr pushkin', 'alexander s pushkin', 'pouchkine', 'alexandr pushkin', 'pushkin aleksandr sergeyevich']"
Sturnus Vulgaris is more commonly known as what bird?,"1000 Common Starling
","['sturnidae', 'starlings', 'starling', 'sturnini']"
John Reid holds which Government post as at October 2006?,"1st Secretary of State
","['home secretary uk', 'minister of interior england', 'home secretary of united kingdom', 'secretary of state for home office', 'minister of interior england and wales', 'home sec', 'uk home secretary', 'home secretary', 'interior minister of england', 'interior minister of england and wales', 'home secretaries', 'england s interior minister', 'list of secretaries of state for home department uk', 'minister of internal affairs for england and wales', 'british home secretary', 'secretary of state for home affairs', 'secretary of state for home department']"
US comedian Joan Alexandra Molinsky is better known by what name?," Joan Rivers
","['joan rivers', 'queen of comedy', 'diary of mad diva', 'joan rivers tv show', 'joan rivers show', 'joan alexandra molinsky', 'heidi abromowitz', 'joan river']"
Which head of state was shot by firing squad on Christmas Day 1989?,"1st King of Thailand
","['nicolae ceasescu', 'nicolae ceausescu', 'nicolae ceaușescu', 'ceaucescu', 'nicholae ceaușescu', 'nikolai ceausescu', 'nicolae ceauşescu', 'chaushesko', 'ceausescu nicolae', 'ceasescu', 'nicholae ceausescu', 'nicolae caeusescu', 'nicolae ceaucescu', 'nicolae ceauescu', 'nicolaie ceausescu', 'nicholae ceausecu', 'nikolai chauchesku', 'nikolai ceaucescu', 'ceauşescu', 'ceaușescu nicolae', 'chaousescou', 'ceaușism', 'ceaușescu', 'caucescu', 'ceauşescu nicolae', 'nicholae ceauşescu', 'n ceausescu', 'nicolea ceausescu', 'ceausescu', 'caeasescu', 'nicolai ceausescu']"
Who was the first test tube baby," Louise Brown
","['lesley brown', 'louise joy brown', 'louise brown', 'louise j brown']"
What is Canada's oldest city founded in 1608?," Quebec
","['quebec canada', 'quebec', 'province of quebec', 'province de québec', 'quèbec', 'british conquest of new france', 'foreign relations of quebec', 'political culture of quebec', 'québec', 'capture of quebec', 'québec province', 'quebec province', 'ca qc', 'province de quebec', 'québec canada', 'province of québec', 'quebéc']"
Who wrote the poetic drama 'Murder in the Cathedral' in 1939?," T.S. Eliot
","['t s eliott', 'thomas s eliot', 'sweeney among nightingales', 'thomas stearns', 'eliotian', 'prufrock and other observations', 'thomas stearns eliot om', 'ts elliot', 't s eliot', 't s elliott', 't s elliot', 'ts eliot', 't s thomas stearns eliot', 't eliot', 't s e', 'thomas stearns eliot']"
The Chao Phraya River is in which Asian country?," Thailand
","['thailand', 'kingdom of thailand', 'kingdom of thai', 'เมืองไทย', 'prathet thai', 'name of thailand', 'thayland', 'taihland', 'muang thai', 'iso 3166 1 th', 'skateboarding in thailand', 'thai kingdom', 'sport in thailand', 'siam thailand', 'sayam', 'siam', 'ratcha anachak thai', 'ราชอาณาจักรไทย', 'etymology of thailand', 'tailand', 'thailande', 'ประเทศไทย', 'thai empire']"
"Broccoli, sprouts and cauliflower are all members of which family of plants?","	Cruciferae
","['brassica', 'brassica sinapistrum', 'brassicas']"
Sevruga and osetrove are varieties of what?," Salmon
","['iranian caviar', 'caviar substitute', 'caviar caviare', 'black caviar', 'caviar', 'cavier', 'fish caviar', 'keviar', 'caviare', 'ikra']"
"Which office has been held by Stuart Blanch, Donald Coggan and Michael Ramsey?"," Archbishop of Canterbury
","['ancient see of york', 'archdiocese of york', 'archbishop of york title', 'list of archbishops of york', 'archbishops of york', 'see of york', 'primate of england', 'archbishop of york', 'bishop of york', 'ebor archbishop of york', 'archbishopric of york', 'bishop of eboracum']"
"Where in the UK is the Captain Cook Schoolroom Museum, a statue of James Cook as a boy by Nicholas Dimbleby, and a granite obelisk that marks the original site of the Cook family home?"," Stockton-on-Tees
",['great ayton north yorkshire']
Where in the human body would you find cones and rods?," Eyes
","['compound eyes', 'oculars', 'facet eyes', 'cyber eye', 'ommateum', 'peeper organ', 'eye balls', 'compound eye', 'simple eye', 'eye vertebrate', 'animal eyes', 'camera type eye', 'eye membrane', 'apposition eye', 'eyeball', 'eye', 'ommotidium', 'eyes', 'robotic eye', 'ocular globe', 'eye anatomy', 'pinhole eye', 'eye ball', 'conjunctival disorders', 'fly s eye lens', 'ocular', 'schizochroal eye', 'eye invertebrate']"
The Second English Civil War effectively ended on 28 August 1648 with the Royalist surrender of which town to Sir Thomas Fairfax?,"1648
","['camalodunum', 'camalodon', 'colchester borough council act 2001', 'colchester', 'colchester essex', 'colchester town', 'weather in colchester', 'colchester england', 'camaloden']"
Portia Simpson-Miller was sworn in as Prime Minister of which country in January 2012?," Jamaica
","['jamacian', 'america jamaica', 'xaymaca', 'jameca', 'indigenous peoples of jamaica', 'jamrock', 'xamayca', 'jamaica', 'name of jamaica', 'jamica', 'castleton botanical garden', 'iso 3166 1 jm', 'jamaica nation', 'jamiaca', 'jamaica country', 'castleton botanical gardens jamaica', 'jamaca', 'lambsriver westmoreland jamaica']"
"Which long-standing cartoon characters made their debut in 'Puss Gets The Boot' in February 1940, called originally Jasper and Jinx?","1940
","['tom and jerry', 'jasper and mouse', 'tom and jerry mgm', 'tom and jerry feture length movies', 'tom and jerry festival of fun', 'tom jerry mgm', 'janec and hanos', 'tom jerry', 'jasper jinx', 'tom and jerry series guide', 'tom and jerry feature length movies', 'jasper mouse', 'tom and jerry 2011 film', 'tom and jerry music', 'tom and jerry series', 'jasper and jinx', 'tom n jerry', 'tom and jerry tv series']"
Rosh Hashanah is the Jewish celebration of what?,"7th month
","['new year', 'new year festival', 'new year s', 'turn of year', 'new years', 'annunciation style', 'annunciation style dating']"
Tirana is the capital of which country?," Albania
","['albania', 'shqipëri', 'etymology of albania', 'shqipëria', 'shqiperia', 'health in albania', 'albenia', 'albanija', 'albanie', 'shquiperia', 'republika e shqipërisë', 'republic of albania', 'iso 3166 1 al', 'shqiperi', 'albania balkans']"
In which city are the headquarters of UNESCO?," Paris
","['paris musical', 'paris', 'paris u s', 'places named paris', 'paris list', 'paris usa', 'paris roman actor', 'paris album', 'paris disambiguation', 'list of places and things named paris', 'paris actor', 'paris film']"
Which Christian Socialist politician became chancellor of Austria in 1932?," Karl Renner
","['engelbert dollfuss', 'dollfuss', 'dollfuss engelbert', 'engelbert dollfuß', 'dollfuß', 'englebert dolfuss', 'dolfuss']"
A UK Number 1 for Diana Ross in March 1986 written by the Bee Gees?,"1st in a Million Years
","['chain reaction disambiguation', 'chain reaction', 'chain reaction album']"
Who succeeded Anwar Sadat as President of Egypt," Hosni Mubarak
","['حسني مبارك', 'hosni mubarak resignation', 'husni mubarak', 'muhammad hosni said mubarak', 'mohamed hosny mubarak', 'muhammad hosni mubarak', 'hosni mobarak', 'muhammad husni sayyid mubarak', 'hosni mubarek', 'resignation of hosni mubarak', 'housni mubarak', 'hosni moubarak', 'm hosny mubarak', 'muhammed hosni mubarak', 'president mubarak', 'hosny mubarak', 'muhammad hosni sayyid mubarak', 'hoshi mubarak', 'محمد حسني مبارك', 'mohammed hosni moubarak', 'hosni mubarak', 'muhammad husni mubarak', 'محمد حسنى سيد مبارك', 'mohammed hosni mubarak', 'ḥusnī mubārak', 'mohammad hosni mubarak', 'm hosni mubarak', 'mohammed hosni sayyed mubarak', 'hosni el sayed mubarak', 'muhammad hosni el sayed mubarak', 'mubarak regime', 'muḥammad ḥusnī sayyid mubārak', 'mubarak', 'مبارك', 'muḥammad ḥusnī mubārak']"
Who was the son of Darius and King of Persia from 486 to 465 BC?,"486-465 BC
","['xerxes system shock 2', 'xerxes disambiguation', 'xerxes', 'xerses']"
In 1468 Orkney was ceded to Scotland in lieu of an unpaid dowry by the king of which country?," Denmark
","['norwegen', 'kongeriket norge', 'norway', 'republic of norway', 'noorwegen', 'norvege', 'mainland norway', 'kingdom of norway', 'sport in norway', 'noreg', 'noruega', 'norwegia', 'noregur', 'royal kingdom of norway', 'name of norway', 'kongeriket noreg', 'norwegian kingdom', 'etymology of norway', 'norvège', 'iso 3166 1 no', 'norwegian state']"
What is the name of the bird in the Peanuts comic strip?," Charlie Brown
","['woodstock music festival', 'woodstock movie', 'woodstock music and art fair', 'woodstock 1969', 'woodstock art festival', 'woodstock music and arts fair', 'woodstock music art fair', 'woodstock', 'aquarian exposition', 'woodstock music and art festival', 'woodstock festival']"
What is the international telephone dialling code for Mexico?,"52
","['fifty two', '52']"
What is the heraldic word for red?," gules
","['gules heraldry', 'gules']"
Who was the World’s first Christian martyr?,"1st century
","['st stephen', 'stephen saint', 'saint stephen', 'st steven', 'saint steven', 'st stephen martyr', 'apostle stephen', 'apostle stephen protomartyr', 'stephen martyr', 'stephen protomartyr']"
"In humans, what is the name of the fibrous protein found in the outer layer of the skin and is a major constituent of hair and nails?"," Keratin
","['keratins', 'cornification', 'keratin', 'hornification', 'cornified', 'neurokeratin', 'keratinisation', 'keratinized', 'kerotin', 'keretin', 'keratinopathy', 'keratinization', 'keratine', 'kereton', 'keratinous tissue', 'ceratin', 'keratin wax', 'keratinous']"
"Which famous comedy double-act partner made the first ever UK mobile phone call, New Year's Day, 1985?","1985
","['ernest wiseman', 'ernie wise']"
"Who was the president of Yugoslavia, 1953-80?"," Josip Broz Tito
","['tito disambiguation', 'tito']"
"Which small mammal, native to Central and South America, may also be called the Honey Bear or Potto?",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"['kinkajew', 'kinkajou', 'kinkajoo', 'p flavus', 'kinkaju', 'kinkachu', 'kinkajous', 'potos flavus', 'kinkjous', 'potos']"
What is the capital city of Nevada?," Carson City
","['carson city county nevada', 'capital of nevada', 'carson city nevada metropolitan area', 'carson city nev', 'city of carson city', 'consolidated municipality of carson city', 'carson city nv metropolitan statistical area', 'carson city metropolitan area', 'carson city', 'carson city nv msa', 'carson nevada', 'carson city county', 'carson city nevada', 'carson city nv', 'yesterday s flyers', 'carson nv', 'consolidated municipality of carson city nevada']"
Bukit Timah is the highest point in which Republic of Southeast Asia?," Singapore
","['sinjiapo', '新加坡共和国', 'singapour', 'hsin chia p o', 'manchester of east', 'sing pore', 'singapor', 'சிங்கப்பூர்', 'singapore city disambiguation', 'lion city', 'singapore basic facts', 'சிங்கப்பூர் குடியரசு', 'capital of singapore', 'singapore as regional and global hub', 'xīnjiāpō gònghéguó', 'sg100', 'cingkappur kudiyaracu', 's porean', '新加坡共和國', 'singy', 'republik singapura', 'xīnjiāpō', 'city of singapore', 'statistics of singapore', 'singapore kudiyarasu', 'singapore country', 'republic of singapore', 'singpore', 'singapore', 'xinjiapo gònghégúo', 'singapore city', 'xinjiapo gongheguo', 'un locode sgsin', 'hsin chia p o kung ho kuo', 'iso 3166 1 sg', 'etymology of singapore', 's pore', 'light of south', 'xinjiapo', 'xin jia po', '新加坡', 'asia singapore', 'singapore singapore', 'signapore', 'hub in singapore context', 'singa pura', 'cingkappur']"
What was the name of the pub in Only Fools and Horses?,"20 Minute Warning
","['nags head nc', 'nags head north carolina', 'nags head', 'nag s head north carolina']"
Who is the mortal enemy of Captain Pugwash?,"1001
",['cut throat jake']
What is the nationality of singer Rihanna?," Barbadian
","['barbadian dialect', 'barbadian disambiguation', 'barbadian']"
"In the Old testament which book follows Genesis, Exodus, Leviticus and Numbers?","1st Book of Kings
","['deu', 'deutoronomy', 'deuteronomy', 'book of deuteronomy', 'book of deut', 'deuteronomic', 'deut', 'book of dt', 'book deuteronomy', 'duderonomy']"
What is the highest pitched woodwind instrument in an orchestra,"1st flute
","['piccholo', 'piccolo', 'picollo', 'piccolo flute', 'piccolos']"
What is the name of the main French stock market index?," CAC 40
","['cac disambiguation', 'cac', 'c c']"
"Whose paintings included Woman with a Hat, The Open Window, and Bathers with a Turtle?"," Picasso
","['matissean', 'henry mattisse', 'le rêve de 1940', 'henri matisse', 'henri mattise', 'mattisse', 'le reve de 1940', 'matisse', 'henry matise', 'henri emile benoit matisse', 'matisse henri emile benoit', 'henri emile benoît matisse', 'henri matise', 'henri mattisse', 'mattise', 'henri émile benoît matisse', 'henry matisse', 'matisse henri émile benoît', 'henry mattise', 'matise']"
In which city are the headquarters of the Fiat car company?," Turin
",['turin']
The ‘two-minute hate’ is featured in which novel of the twentieth century?,"1984
","['1984', 'one thousand nine hundred and eighty four']"
Which British heavyweight boxing champion died on 1st. May 2011 at the age of 76?," Henry Cooper
","['henry cooper boxer', 'cooper henry', 'henry cooper']"
In the TV sitcom 'Frasier' what is the forename of Frasier's producer played by Peri Gilpin?," Roz
",['roz']
"With a population of a little over 110,000, what is the capital city and largest city of South Carolina?"," Columbia
","['columbia', 'columbia disambiguation', 'columbia town', 'columbia yacht', 'columbia song', 'columbia municipality', 'columbia automobile']"
"August 12, 1925 saw the birth of twins Ross and Norris McWhirter, who created what book, which people will go to extreme lengths to get into?","1001 Secrets Of The World's Great Mysteries
","['guiness worlds record', 'guinness book of worlds records', 'guinness world record', 'guiness world s record', 'guiness world record', 'guinness book of world records', 'guinness world s record', 'guinness worlds record', 'book of world records', 'guinness publishing', 'guinness superlatives', 'guinness world records limited', 'guinness record book', 'guinness world records 2008', 'guiness world records ltd', 'guiness book', 'guinness world book of records', 'guinness world records tv series', 'guinness world records', 'guiness book of world s records', 'gbowr', 'guinness book of records', 'guinness records', 'guinness world s records', 'guiness world s records', 'world guiness records', 'craig glenday', 'guiness book of world records', 'guinness book of world s records', 'guinness worlds records', 'guiness book of worlds records', 'guiness record', 'guiness world records 2006', 'guiness world records', 'guiness book of records', 'list of new or broken records in guinness world records books', 'guiness records', 'guinness book of world record', 'list of guinness world records books', 'guinness book', 'guinness world records 2014', 'impossible vietnamese vg', 'guinness books', 'guiness worlds records', 'features of guinness world records books', 'guinness record']"
Lahar is an Indonesian term that describes a hot or cold mixture of water and rock fragments flowing from what?," Volcano
","['volcano 1997 film', 'volcano 1997 movie', 'volcano']"
Rivella is a soft drink which originated in which European country?," Italy
","['der schweiz', 'switzeland', 'confederation helvetia', 'confederatio helvetica', 'swissland', 'switzerland information', 'confederation suisse', 'switserland', 'confédération suisse', 'swizterland', 'confederation of helvatia', 'swizerland', 'svizzera', 'confederation helvetica', 'land of switzers', 'suiza', 'confederaziun svizra', 'schweiz', 'etymology of switzerland', 'die schweiz', 'suisse', 'confederazione svizzera', 'swiss', 'svizra', 'switzerland', 'schweitz', 'swiss confederation', 'switz', 'svissland', 'schwitzerland', 'environmental integrity group', 'land of swiss', 'schweizerische eidgenossenschaft', 'swissenergy', 'confœderatio helvetica', 'confoederatio helvetica', 'switzer land', 'švýcarsko', 'swiss confederated states', 'iso 3166 1 ch']"
Which confectionery items are named after Forrest Mars and Bruce Murrie?,"3 Musketeers
","['mega m m s', 'm m s minis', 'm and m s', 'm m s peanuts', 'mini m m', 'm m s characters', 'metm', 'peanut m ms', 'm et m', 'm m s', 'mnms', 'm ms', 'peanut m m s', 'm m', 'crispy m m s', 'm and ms', 'm m candies', 'candy cow', 'peanut butter m ms', 'meganems']"
'Banyana Banyana' which translates as 'Girls Girls' is the nickname of which nation's women's football team?," South Africa
","['zuidafrika', 'azania south africa', 'south africans', 'zuid africa', 'suid africa', 'afrique du sud', 'saffa', 'south africa s', 'third republic south africa', 'ningizimu afrika', 'sou frica', 'iso 3166 1 za', 'soufrica', 'capital of south africa', 's afr', 'seth efrika', 'zuid afrika', 'suid afrika', 'south africaà', 's africa', 'republic of south africa', 'rep of south africa', 'south african', 'beloved country', 'south africa', 'southafrica', 'mzansi', 'republiek van suid afrika']"
"Who in 2012 made the first submarine solo dive to the bottom of the Mariana Trench, the lowest point of the oceans (subsequently to release a 3D film of the dive)?"," James Cameron
","['list of awards and nominations received by james cameron', 'james cameron', 'james francis cameron']"
All Hallows’ Eve is celebrated on the last day of which month?,"10
","['roctober', 'october', '8ber', '㋉', 'ocotber', 'oct']"
"Named for the day of its discovery by Captain William Mynors, Christmas Island, a land mass in the Indian Ocean, is a territory of what nation?"," Australia
","['australie', 'orstraya', 'federal australia', 'australias', 'empire of australia', 'modern australia', 'asutralia', 'iso 3166 1 au', 'australien', 'australia country', 'australia federation', 'austraila', 'country life in australia', 'philosophy in australia', 'australlia', 'continental australia', 'pax australiana', 'austrlaia', 'australia dominion', 'australian woman s day', 'australia monarchy', 'australia', 'australian country life', 'united states of australia', 'mainland australia', 'australia commonwealth', 'austalia', 'australija', 'australocentric', 'peace of australia', 'australia realm', 'ostralia', 'australocentrist', 'australian geopolitics', 'australia nation', 'australia commonwealth realm', 'australian', 'australian city life', 'australia empire', 'austraya', 'australiia', 'geopolitics of australia', 'australo', 'technology in australia', 'ausrtalia', 'australai', 'australia nation state', 'science in australia', 'dominion of australia', 'commonwealth of australia', 'australia state', 'aussieland', 'australian mainland', 'australian s', 'imperial australia', 'austrailia', 'city life in australia', 'austrlia', 'commonwealth australia', 'straya', 'australocentrism', 'australia s', 'australia constitutional monarchy', 'etymology of australia', 'australian commonwealth', 'new australian']"
"In which country is the Tower of Hercules, the oldest roman lighthouse still in use today?"," Spain
","['el reino de españa', 'iso 3166 1 es', 'kingdom of spains', 'reino de espana', 'regne d espanha', 'espagna', 'mountains of spain', 'kingdom of spain', 'name of spain', 'etymology of spain', 'regne d espanya', 'spanish kingdom', 'espainiako erresuma', 'reino de españa', 'espanya', 'espańa', 'spanish society', 'islands of spain', 'spain', 'spane', 'espainia', 'españa', 'espana', 'el reino de espana']"
Who plays Sergeant Hathaway in the television series Lewis?," Peter Vaughan
","['laurence fox', 'lawrence fox']"
"Which sea creature has been adopted as the symbol of the Parramatta Rugby League Club in Sydney, Australia?","1992
","['true eel', 'elvers', 'anguilliformes', 'eel', 'anguilliform', 'life cycle of eel', 'eels', 'nemichthyoidei', 'congroidei', 'eeling', 'elver']"
Which religion is based on the teachings of Siddartha Gautama?," Buddhism
","['budism', 'búdachas', 'budddhist', 'buddh', 'buddha s gospel', 'buddhist', 'buddhaity', 'buddist', 'buddhism religion', 'buddhisam', 'buddhist religious philosophy', 'budddhists', 'buddhity', 'будизъм', 'buddha dhamma', 'buddha birth date controversies', 'buhhdism', 'bauddhadharma', 'three levels of suffering', 'budhda birth date controversies', 'boudhism', 'budhist', 'dhamma vinaya', 'superbuddha', 'bhuudis', 'budhism', 'buddism', 'bhuddist', 'dhammavinaya', 'buddhists', 'buddha dharma', 'buddhadharma', 'teaching of buddha', 'buddhasasana', 'buddhism in asia', 'buddhism', 'buddhadhamma', 'budddhism', 'bouddhism', 'buddhisem', 'bhuddism', 'buddhist saying']"
"In 1960, which actress received the first star on the Hollywood Walk of Fame in Los Angeles?","1960: Judy Garland
","['joanne gignilliat woodward', 'joanne gignilliat trimmier woodward', 'joanne woodward', 'joanne g woodward']"
"Which Football League club moved into its new home in 2007 at the New Meadow, now known as the Greenhous Meadow for sponsorship purposes?"," Wolves
","['shrewsbury f c', 'shrewsbury town f c', 'shrewsbury town football club', 'shrewsbury town fc', 'shrewsbury town', 'shrewsbury town youth']"
What did Pablo Escobar get rich from selling?," Cocaine
","['cocaine abuse', 'columbian marching powder', 'ye yo', 'gaggas', 'effects of cocaine', 'yeyo', 'methylbenzoylecgonine', 'crack heads', 'atc code n01bc01', 'synthetic cocaine', 'crack cocaine', 'freebase cocaine', 'cocaine hydro chloride', 'atc code s01ha01', 'cocaine related disorders', 'farlopa', 'methyl benzoylecgonine', 'crack overdose', 'atc code r02ad03', 'cocaine hcl', 'benzoylmethylecgonine', 'coke drug', 'kilogram of cocaine', 'atcvet code qr02ad03', 'cocaine hydrochloride', 'benzoyl methyl ecgonine', 'cocaine', 'cocoaine', 'atcvet code qs01ha01', 'crackpipe', 'cocaine trafficking', 'atcvet code qn01bc01', 'cocain', 'cocaine trade', 'prohibition of cocaine in united states', 'llello', 'powdered cocaine', 'bolivian marching powder', 'nose candy', 'atcvet code qs02da02', 'atc code s02da02', 'erythroxyline']"
"""What did Ellen MacArthur achieve with """"B&Q;/Castorama"""" on 7 February 2005?""","100th store opened
",['broke world record for fastest solo circumnavigation of globe']
For how long does Rip Van Winkle sleep in Washington Irving's story ?,"20 years
","['20 time', 'twenty time', '20 years']"
Which 1903 book by Erskine Childers that is still enjoyed for its accurate portrayal of inland sailing was credited by Winston Churchill as a major reason for the establishment of naval bases in the UK?,"8th
","['riddle of sands novel', 'riddle of sands']"
Who was the respectable Victorian gentleman who became known as the 'King of Saucy Postcards'?,"18th Earl of Dartmouth
","['donald mcgill', 'donald fraser gould mcgill']"
David Moyes played in what position during his football career?,"10
","['right defender football', 'full back association football', 'left wingback', 'defender association football', 'defendable', 'defensible', 'fullback association football', 'rightwingback', 'back soccer', 'defending', 'full back football', 'libero soccer', 'right back', 'left back', 'right wingback', 'defensibleness', 'centre back', 'rightback', 'leftwingback', 'defender midfielder', 'central back', 'defence football', 'defensibly', 'right back association football', 'defensibility', 'right wing back', 'wingback soccer', 'defendors', 'defendability', 'defender football', 'defender second striker association football', 'defender soccer', 'wingback association football', 'defendably', 'football defender', 'libero football', 'leftback', 'centre half', 'defends']"
What is the first name of the diplomat after whom Downing Street is named?,"1st Earl of Sandwich
",['sir george']
"In the world of pari-mutuel betting, what is it called when the bettor must pick the 3 horses that finish first, second, and third in the exact order?","3-Legged Superfecta
",['trifecta']
Frederick Gibberd won the competition to design which Liverpool building?,"1960s Liverpool Museum
","['metropolitan cathedral of christ king liverpool', 'paddys wigwam', 'metropolitan cathedral of christ king', 'paddy s wigwam', 'liverpool metropolitan cathedral', 'liverpool metropolitan cathedral of christ king', 'lady chapel of liverpool metropolitan cathedral']"
Which nation invented the Molotov Cocktail,"1940s
","['etymology of finland', 'finn land', 'suomen tasavalta', 'republiken finland', 'iso 3166 1 fi', 'finlande', 'fin land', 'finnland', 'republic of finland', 'finland', 'finland during world war ii', 'finland s', 'northern finland', 'name of finland']"
"Where do the rivers Dart, Tavy, Teigh and Okement rise?"," Devon
","['dartmoor', 'dartmoor national park', 'okehayes nursery', 'dartymoor']"
Anserine relates to which creature?," Goose
","['barheaded geese', 'goose bird', 'goose', 'gander goose', 'gooses', 'anserini', 'geese']"
Who invented the aqualung diving apparatus?," Jacques-Yves Cousteau
","['french narrator', 'jacque cousteau', 'jaques cousteau', 'jacques cousteau', 'pierre yves cousteau', 'cousteau society', 'commandant cousteau', 'jock cousteau', 'jacques yves cousteau', 'captain cousteau', 'jack cousteau', 'jacques custeau', 'jaques yves costue']"
